gender,人口,時間軸（年月日現在）,,全国・都道府県,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85歳以上
男女計,総人口,2020年10月1日現在,,東京都,"14,048",522,532,515,551,858,987,959,"1,009","1,066","1,185","1,068",895,708,696,804,647,500,548
男女計,総人口,2020年10月1日現在,,神奈川県,"9,237",331,369,386,415,514,510,511,573,654,786,726,607,496,520,610,495,365,371
男女計,総人口,2020年10月1日現在,,新潟県,"2,201",71,85,92,97,90,91,104,121,142,158,142,139,146,170,177,127,108,139
男女計,総人口,2020年10月1日現在,,富山県,"1,035",34,39,43,46,45,45,48,55,67,82,69,63,62,72,89,65,49,62
男女計,総人口,2020年10月1日現在,,石川県,"1,133",41,47,50,56,59,53,56,62,74,89,74,68,67,74,91,65,47,59
男女計,総人口,2020年10月1日現在,,福井県,767,28,32,35,36,34,35,38,42,49,56,49,49,49,54,59,43,34,45
男女計,総人口,2020年10月1日現在,,山梨県,810,27,31,34,40,38,35,38,43,50,59,57,54,53,58,61,47,37,47
男女計,総人口,2020年10月1日現在,,長野県,"2,048",71,83,91,94,83,86,95,108,132,154,138,130,127,141,158,125,98,132
男女計,総人口,2020年10月1日現在,,岐阜県,"1,979",69,83,90,96,93,87,95,108,127,151,132,125,120,135,156,119,91,102
男女計,総人口,2020年10月1日現在,,静岡県,"3,633",127,150,162,164,155,165,184,208,237,281,250,231,225,250,277,217,164,185
男女計,総人口,2020年10月1日現在,,愛知県,"7,542",302,333,345,361,416,425,437,471,522,621,537,467,399,424,503,401,292,288
男女計,総人口,2020年10月1日現在,,三重県,"1,770",62,73,79,82,81,83,89,98,114,137,120,115,107,118,134,105,80,92
男女計,総人口,2020年10月1日現在,,滋賀県,"1,414",57,66,69,73,76,69,76,86,98,112,94,86,81,88,98,72,52,61
男女計,総人口,2020年10月1日現在,,京都府,"2,578",88,100,107,125,156,132,129,143,167,202,176,157,141,158,201,155,113,128
男女計,総人口,2020年10月1日現在,,大阪府,"8,838",318,347,367,405,491,484,484,515,586,730,651,554,463,515,639,529,388,370
男女計,総人口,2020年10月1日現在,,兵庫県,"5,465",199,227,241,254,264,251,271,308,356,435,387,350,322,355,415,325,238,267
男女計,総人口,2020年10月1日現在,,奈良県,"1,324",44,53,58,65,63,54,60,69,81,101,91,85,81,93,109,87,63,67
男女計,総人口,2020年10月1日現在,,和歌山県,923,31,36,39,40,36,37,42,47,55,68,61,61,60,67,77,60,46,57
男女計,総人口,2020年10月1日現在,,鳥取県,553,21,23,24,25,23,23,26,31,35,39,33,34,37,42,43,31,26,37
男女計,総人口,2020年10月1日現在,,島根県,671,24,28,29,31,26,27,31,36,41,45,39,40,44,51,56,39,34,50
男女計,総人口,2020年10月1日現在,,岡山県,"1,888",71,79,83,92,98,91,95,106,119,142,117,109,112,123,145,113,84,108
男女計,総人口,2020年10月1日現在,,広島県,"2,800",106,122,126,130,136,135,145,160,183,219,185,166,162,182,214,164,119,145
男女計,総人口,2020年10月1日現在,,山口県,"1,342",45,53,57,59,57,54,59,70,81,97,83,79,85,101,118,89,69,87
男女計,総人口,2020年10月1日現在,,徳島県,720,23,27,28,31,31,28,33,39,44,51,44,45,49,58,62,43,36,47
男女計,総人口,2020年10月1日現在,,香川県,950,34,39,42,43,40,41,46,53,63,72,60,56,59,67,80,55,43,57
男女計,総人口,2020年10月1日現在,,愛媛県,"1,335",44,53,57,58,54,54,62,72,83,98,84,84,88,101,112,81,65,85
男女計,総人口,2020年10月1日現在,,高知県,692,22,26,28,30,27,26,29,36,43,50,42,43,46,53,61,45,36,51
男女計,総人口,2020年10月1日現在,,福岡県,"5,135",206,229,232,242,276,263,277,316,348,381,327,300,304,347,369,266,206,244
男女計,総人口,2020年10月1日現在,,佐賀県,811,32,37,40,40,36,35,39,46,51,54,49,50,54,62,60,43,36,48
男女計,総人口,2020年10月1日現在,,長崎県,"1,312",49,56,59,59,50,51,60,70,78,88,82,85,93,107,105,74,65,82
男女計,総人口,2020年10月1日現在,,熊本県,"1,738",69,79,81,80,74,74,85,99,108,114,103,108,117,131,130,93,82,110
男女計,総人口,2020年10月1日現在,,大分県,"1,124",40,46,50,50,47,46,52,61,71,77,67,67,75,86,92,68,55,72
男女計,総人口,2020年10月1日現在,,宮崎県,"1,070",41,48,51,48,41,42,49,59,67,71,62,66,75,85,85,60,51,68
男女計,総人口,2020年10月1日現在,,鹿児島県,"1,588",62,72,74,71,61,62,74,89,96,100,93,101,116,130,120,85,77,105
男女計,総人口,2020年10月1日現在,,沖縄県,"1,467",78,84,83,78,73,77,86,95,100,108,94,89,92,97,76,52,49,57
男女計,総人口,2021年10月1日現在,,全国,"125,502","4,389","5,038","5,357","5,580","6,263","6,379","6,556","7,354","8,173","9,732","9,252","7,824","7,391","7,869","9,672","6,712","5,563","6,398"
男女計,総人口,2021年10月1日現在,,北海道,"5,183",156,186,202,218,227,228,245,284,326,390,367,333,335,378,443,304,255,305
男女計,総人口,2021年10月1日現在,,青森県,"1,221",36,43,48,52,45,46,52,64,74,86,86,82,89,98,110,72,63,77
男女計,総人口,2021年10月1日現在,,岩手県,"1,196",36,44,49,52,45,47,53,64,73,84,80,77,84,94,101,68,63,82
男女計,総人口,2021年10月1日現在,,宮城県,"2,290",76,91,97,105,122,114,121,139,155,172,158,139,145,159,174,110,95,117
男女計,総人口,2021年10月1日現在,,秋田県,945,24,30,35,37,29,32,37,47,56,63,61,61,72,81,91,58,55,75
男女計,総人口,2021年10月1日現在,,山形県,"1,055",33,40,44,47,41,41,47,57,65,71,67,66,74,83,91,58,54,76
男女計,総人口,2021年10月1日現在,,福島県,"1,812",58,69,75,81,71,78,87,101,112,127,121,117,131,143,152,94,84,111
男女計,総人口,2021年10月1日現在,,茨城県,"2,852",93,112,123,131,134,132,143,164,184,219,207,175,176,202,234,161,126,137
男女計,総人口,2021年10月1日現在,,栃木県,"1,921",64,76,83,88,84,90,99,114,128,149,137,118,122,138,157,101,79,93
男女計,総人口,2021年10月1日現在,,群馬県,"1,927",63,74,84,91,90,89,93,106,122,150,142,118,116,131,159,111,87,102
男女計,総人口,2021年10月1日現在,,埼玉県,"7,340",256,293,312,326,388,391,397,440,493,605,577,459,405,434,553,409,315,288
男女計,総人口,2021年10月1日現在,,千葉県,"6,275",216,247,264,277,330,330,336,376,417,508,489,388,348,376,480,352,273,267
男女計,総人口,2021年10月1日現在,,東京都,"14,010",499,533,520,532,848,994,940,989,"1,037","1,164","1,122",904,724,670,832,612,510,578
男女計,総人口,2021年10月1日現在,,神奈川県,"9,236",321,365,385,404,515,520,506,562,631,767,766,613,505,496,633,472,380,395
男女計,総人口,2021年10月1日現在,,新潟県,"2,177",68,83,91,96,88,89,100,118,137,158,149,135,143,162,190,121,108,143
男女計,総人口,2021年10月1日現在,,富山県,"1,025",33,38,42,46,43,45,46,54,63,81,74,61,62,68,93,62,49,64
男女計,総人口,2021年10月1日現在,,石川県,"1,125",40,46,49,54,59,53,54,61,70,88,80,67,67,71,95,62,48,62
男女計,総人口,2021年10月1日現在,,福井県,760,27,31,35,36,32,34,37,42,47,56,52,47,48,51,64,40,34,47
男女計,総人口,2021年10月1日現在,,山梨県,805,27,31,34,39,38,35,37,42,48,58,59,54,52,56,65,45,38,48
男女計,総人口,2021年10月1日現在,,長野県,"2,033",68,81,90,94,79,86,92,106,126,153,146,127,126,135,167,120,100,135
男女計,総人口,2021年10月1日現在,,岐阜県,"1,961",66,81,90,95,91,85,91,105,121,149,141,122,119,129,164,113,93,106
男女計,総人口,2021年10月1日現在,,静岡県,"3,608",121,147,161,164,151,163,178,204,229,276,266,226,223,239,293,206,170,192
男女計,総人口,2021年10月1日現在,,愛知県,"7,517",292,328,345,352,412,424,427,463,503,609,575,464,402,406,521,383,305,304
男女計,総人口,2021年10月1日現在,,三重県,"1,756",60,71,78,82,79,82,86,96,109,135,128,112,107,113,141,99,82,95
男女計,総人口,2021年10月1日現在,,滋賀県,"1,411",55,65,69,71,76,70,74,84,95,111,101,85,80,84,104,70,54,64
男女計,総人口,2021年10月1日現在,,京都府,"2,561",85,98,106,119,156,134,125,139,159,198,186,156,141,149,209,147,118,135
男女計,総人口,2021年10月1日現在,,大阪府,"8,806",311,342,365,390,493,490,477,508,561,709,694,556,467,484,662,493,407,396
男女計,総人口,2021年10月1日現在,,兵庫県,"5,432",192,223,240,249,262,249,264,301,341,426,411,346,320,339,435,306,248,280
男女計,総人口,2021年10月1日現在,,奈良県,"1,315",43,52,57,63,63,53,58,68,78,99,96,83,80,88,115,82,66,71
男女計,総人口,2021年10月1日現在,,和歌山県,914,30,35,38,40,35,36,41,47,52,67,65,59,59,64,82,56,48,59
男女計,総人口,2021年10月1日現在,,鳥取県,549,20,23,24,25,23,22,25,31,34,39,34,32,36,41,47,29,26,37
男女計,総人口,2021年10月1日現在,,島根県,665,24,28,29,30,25,27,30,35,40,46,41,38,43,48,60,37,33,51
男女計,総人口,2021年10月1日現在,,岡山県,"1,876",69,78,83,88,98,91,93,104,114,141,126,107,109,118,152,107,87,111
男女計,総人口,2021年10月1日現在,,広島県,"2,780",102,119,127,128,134,133,140,157,175,216,198,163,160,173,223,157,123,150
男女計,総人口,2021年10月1日現在,,山口県,"1,328",43,51,57,58,56,53,57,68,78,96,89,76,82,96,124,84,71,90
男女計,総人口,2021年10月1日現在,,徳島県,712,22,26,28,30,31,28,31,38,43,51,47,43,47,55,67,41,36,48
男女計,総人口,2021年10月1日現在,,香川県,942,33,39,41,43,39,40,44,52,60,72,64,54,57,64,84,53,44,59
男女計,総人口,2021年10月1日現在,,愛媛県,"1,321",43,52,57,58,52,53,60,70,80,97,89,81,86,96,118,77,67,86
男女計,総人口,2021年10月1日現在,,高知県,684,21,25,27,29,26,25,28,35,41,50,45,41,45,50,64,43,36,52
男女計,総人口,2021年10月1日現在,,福岡県,"5,124",201,227,234,234,278,264,270,311,340,381,346,294,299,330,394,253,214,254
男女計,総人口,2021年10月1日現在,,佐賀県,806,32,36,40,40,35,34,38,45,50,54,50,48,53,60,65,41,36,49
男女計,総人口,2021年10月1日現在,,長崎県,"1,297",47,55,58,59,48,50,57,68,75,87,84,81,91,103,113,70,65,84
男女計,総人口,2021年10月1日現在,,熊本県,"1,728",68,78,81,80,73,74,82,97,106,115,107,104,114,128,140,89,82,112
男女計,総人口,2021年10月1日現在,,大分県,"1,114",39,46,49,50,46,45,50,60,68,78,71,64,72,83,99,64,56,74
男女計,総人口,2021年10月1日現在,,宮崎県,"1,061",40,47,51,48,39,42,47,58,65,72,65,63,72,82,92,56,52,70
男女計,総人口,2021年10月1日現在,,鹿児島県,"1,576",60,70,74,71,60,61,72,86,94,101,96,96,112,127,130,81,77,107
男女計,総人口,2021年10月1日現在,,沖縄県,"1,468",76,83,83,78,72,76,83,95,98,108,98,87,91,95,88,47,49,60
男女計,総人口,2022年10月1日現在,,全国,"124,947","4,247","4,948","5,308","5,512","6,263","6,412","6,446","7,212","7,946","9,462","9,435","8,075","7,445","7,535","9,337","7,030","5,743","6,592"
男女計,総人口,2022年10月1日現在,,北海道,"5,140",150,181,199,213,227,226,240,278,315,380,372,338,335,358,441,314,259,314
男女計,総人口,2022年10月1日現在,,青森県,"1,204",34,42,47,50,45,45,50,62,72,84,86,82,88,94,108,75,63,79
男女計,総人口,2022年10月1日現在,,岩手県,"1,181",34,43,48,50,45,46,51,61,71,82,80,77,83,90,102,70,63,84
男女計,総人口,2022年10月1日現在,,宮城県,"2,280",73,89,96,102,123,115,118,136,152,171,161,142,143,152,175,115,96,120
男女計,総人口,2022年10月1日現在,,秋田県,930,23,29,34,36,29,31,36,45,54,63,61,60,70,78,89,61,54,76
男女計,総人口,2022年10月1日現在,,山形県,"1,041",31,39,43,46,40,40,46,55,63,70,67,65,73,80,91,61,54,77
男女計,総人口,2022年10月1日現在,,福島県,"1,790",55,69,73,79,70,75,85,99,109,125,121,117,128,138,154,98,84,112
男女計,総人口,2022年10月1日現在,,茨城県,"2,840",90,109,121,129,134,133,140,161,180,214,211,180,174,192,229,169,132,141
男女計,総人口,2022年10月1日現在,,栃木県,"1,909",61,74,82,87,85,88,96,112,124,146,141,121,120,132,155,108,82,94
男女計,総人口,2022年10月1日現在,,群馬県,"1,913",61,73,82,89,90,89,92,103,118,145,145,122,115,125,153,117,91,103
男女計,総人口,2022年10月1日現在,,埼玉県,"7,337",249,290,308,323,387,397,396,432,481,583,592,483,410,413,528,426,334,306
男女計,総人口,2022年10月1日現在,,千葉県,"6,266",212,244,262,274,326,333,333,370,408,490,502,407,352,358,457,369,288,281
男女計,総人口,2022年10月1日現在,,東京都,"14,038",480,533,522,535,852,"1,014",936,972,"1,018","1,135","1,140",950,751,651,789,637,526,598
男女計,総人口,2022年10月1日現在,,神奈川県,"9,232",312,359,382,400,511,532,504,552,613,741,777,647,522,476,605,489,398,415
男女計,総人口,2022年10月1日現在,,新潟県,"2,153",65,80,89,94,88,87,97,115,132,156,150,138,140,155,186,128,109,144
男女計,総人口,2022年10月1日現在,,富山県,"1,017",32,38,42,45,43,45,45,52,60,78,76,63,61,65,85,68,52,65
男女計,総人口,2022年10月1日現在,,石川県,"1,118",38,45,49,53,59,53,53,59,67,86,82,69,67,68,89,68,51,62
男女計,総人口,2022年10月1日現在,,福井県,753,27,31,34,36,31,34,36,41,45,54,53,48,48,49,62,42,35,47
男女計,総人口,2022年10月1日現在,,山梨県,802,26,30,33,38,39,36,37,41,46,57,59,55,52,55,64,47,39,48
男女計,総人口,2022年10月1日現在,,長野県,"2,020",67,79,88,93,79,85,91,104,121,150,148,130,127,131,162,124,103,137
男女計,総人口,2022年10月1日現在,,岐阜県,"1,946",64,78,88,93,92,85,89,102,117,144,144,125,120,123,159,117,96,108
男女計,総人口,2022年10月1日現在,,静岡県,"3,582",116,142,159,163,152,162,172,200,222,268,270,233,223,229,285,214,175,197
男女計,総人口,2022年10月1日現在,,愛知県,"7,495",282,322,344,350,411,425,420,456,490,589,591,483,413,390,498,395,319,317
男女計,総人口,2022年10月1日現在,,三重県,"1,742",58,69,77,81,79,81,84,94,105,131,131,114,108,109,137,104,84,97
男女計,総人口,2022年10月1日現在,,滋賀県,"1,409",54,64,68,70,76,71,73,83,92,108,104,87,81,81,101,74,57,66
男女計,総人口,2022年10月1日現在,,京都府,"2,550",82,96,104,116,158,138,123,136,153,191,192,161,144,142,197,154,124,139
男女計,総人口,2022年10月1日現在,,大阪府,"8,782",304,336,361,383,495,499,474,502,543,679,712,580,482,458,623,508,426,417
男女計,総人口,2022年10月1日現在,,兵庫県,"5,402",186,219,238,247,262,248,258,295,329,411,420,356,325,324,415,321,259,289
男女計,総人口,2022年10月1日現在,,奈良県,"1,306",42,51,56,61,63,53,57,66,75,95,98,86,80,84,110,85,70,74
男女計,総人口,2022年10月1日現在,,和歌山県,903,29,34,38,40,34,35,39,46,51,64,66,60,60,62,78,59,49,60
男女計,総人口,2022年10月1日現在,,鳥取県,544,20,23,24,25,22,22,25,30,33,38,35,32,35,40,46,31,26,38
男女計,総人口,2022年10月1日現在,,島根県,658,23,27,29,30,25,26,29,34,38,45,42,38,42,46,58,40,33,52
男女計,総人口,2022年10月1日現在,,岡山県,"1,862",67,76,82,86,97,91,91,102,110,137,131,109,109,114,145,113,89,113
男女計,総人口,2022年10月1日現在,,広島県,"2,760",98,116,126,127,133,132,136,154,170,209,204,168,161,166,211,167,129,154
男女計,総人口,2022年10月1日現在,,山口県,"1,313",42,50,56,58,55,52,55,66,75,93,91,78,81,90,118,89,73,91
男女計,総人口,2022年10月1日現在,,徳島県,704,22,26,28,29,30,28,30,36,42,49,48,44,46,52,65,44,36,49
男女計,総人口,2022年10月1日現在,,香川県,934,32,38,41,43,39,39,43,51,57,71,66,56,57,61,79,58,45,59
男女計,総人口,2022年10月1日現在,,愛媛県,"1,306",41,50,56,57,51,52,58,68,77,95,91,81,85,91,115,82,67,88
男女計,総人口,2022年10月1日現在,,高知県,676,21,24,27,29,27,25,27,34,39,49,46,41,44,48,61,46,37,52
男女計,総人口,2022年10月1日現在,,福岡県,"5,116",196,224,234,232,279,267,265,305,334,376,355,301,298,315,385,268,220,261
男女計,総人口,2022年10月1日現在,,佐賀県,801,31,36,39,39,35,34,36,45,49,54,51,48,53,57,65,43,37,49
男女計,総人口,2022年10月1日現在,,長崎県,"1,283",46,54,58,58,49,49,55,66,74,85,85,81,89,98,113,74,65,85
男女計,総人口,2022年10月1日現在,,熊本県,"1,718",66,76,81,79,74,73,80,95,104,114,107,104,112,123,139,95,82,114
男女計,総人口,2022年10月1日現在,,大分県,"1,107",38,45,49,50,47,45,49,59,66,77,72,65,71,79,96,68,57,75
男女計,総人口,2022年10月1日現在,,宮崎県,"1,052",39,46,50,48,40,41,46,56,64,72,66,63,70,79,91,60,52,71
男女計,総人口,2022年10月1日現在,,鹿児島県,"1,563",58,69,74,70,61,61,69,84,93,100,96,96,109,123,132,84,76,108
男女計,総人口,2022年10月1日現在,,沖縄県,"1,468",74,82,84,78,72,76,82,94,96,108,100,88,90,93,91,49,49,62
男女計,総人口,2023年10月1日現在,,全国,"124,352","4,087","4,838","5,248","5,494","6,236","6,479","6,380","7,047","7,765","9,115","9,650","8,279","7,507","7,332","8,817","7,474","5,895","6,708"
男女計,総人口,2023年10月1日現在,,北海道,"5,092",142,176,196,210,226,227,235,270,306,368,379,341,336,342,425,333,262,320
男女計,総人口,2023年10月1日現在,,青森県,"1,184",32,41,45,48,43,44,48,59,70,82,86,82,86,91,105,80,62,79
男女計,総人口,2023年10月1日現在,,岩手県,"1,163",32,41,47,49,44,45,50,59,69,80,81,77,82,87,99,74,62,84
男女計,総人口,2023年10月1日現在,,宮城県,"2,264",69,86,95,102,121,116,115,132,149,167,165,143,142,148,170,125,98,122
男女計,総人口,2023年10月1日現在,,秋田県,914,22,28,33,35,29,30,34,43,52,62,61,59,68,75,87,64,53,76
男女計,総人口,2023年10月1日現在,,山形県,"1,026",30,38,42,45,40,39,44,54,61,69,68,65,71,77,90,65,53,77
男女計,総人口,2023年10月1日現在,,福島県,"1,767",52,67,71,78,69,73,82,96,106,122,122,116,126,134,149,106,85,112
男女計,総人口,2023年10月1日現在,,茨城県,"2,825",87,107,119,127,134,134,138,157,176,206,217,184,173,185,220,179,137,144
男女計,総人口,2023年10月1日現在,,栃木県,"1,897",58,72,80,87,87,88,94,109,121,141,145,124,119,127,149,116,86,95
男女計,総人口,2023年10月1日現在,,群馬県,"1,902",59,71,80,88,90,89,91,101,115,139,148,126,115,121,146,124,94,104
男女計,総人口,2023年10月1日現在,,埼玉県,"7,331",242,284,305,323,386,402,396,425,469,558,608,502,419,400,496,444,351,321
男女計,総人口,2023年10月1日現在,,千葉県,"6,257",205,239,259,273,324,339,332,363,400,470,514,424,359,346,429,387,302,292
男女計,総人口,2023年10月1日現在,,東京都,"14,086",461,526,526,542,856,"1,043",943,954,"1,003","1,102","1,161",985,780,647,735,667,541,615
男女計,総人口,2023年10月1日現在,,神奈川県,"9,229",301,351,379,400,507,544,505,540,599,709,790,674,540,469,564,512,414,432
男女計,総人口,2023年10月1日現在,,新潟県,"2,126",63,77,88,93,86,86,94,112,127,152,152,139,138,150,179,138,109,144
男女計,総人口,2023年10月1日現在,,富山県,"1,007",31,37,41,45,44,44,45,51,58,75,79,64,62,63,79,73,54,64
男女計,総人口,2023年10月1日現在,,石川県,"1,109",37,44,48,52,58,54,52,58,65,82,85,70,66,67,81,73,54,62
男女計,総人口,2023年10月1日現在,,福井県,744,26,30,34,36,32,33,35,39,44,52,54,48,48,48,58,46,36,46
男女計,総人口,2023年10月1日現在,,山梨県,796,25,30,32,37,39,36,36,41,45,54,60,56,53,53,61,50,40,48
男女計,総人口,2023年10月1日現在,,長野県,"2,004",64,77,87,92,80,84,89,102,117,145,151,133,127,128,153,132,106,136
男女計,総人口,2023年10月1日現在,,岐阜県,"1,931",62,76,87,92,93,86,87,100,113,138,147,127,120,120,148,127,99,109
男女計,総人口,2023年10月1日現在,,静岡県,"3,555",111,138,156,162,153,160,168,195,216,257,276,239,222,223,269,228,180,200
男女計,総人口,2023年10月1日現在,,愛知県,"7,477",271,316,340,350,408,428,417,448,481,564,606,501,424,382,463,419,330,328
男女計,総人口,2023年10月1日現在,,三重県,"1,727",56,67,76,80,79,81,82,92,102,125,134,116,109,106,128,111,87,98
男女計,総人口,2023年10月1日現在,,滋賀県,"1,407",52,62,68,70,76,72,72,81,90,105,107,89,82,80,96,79,60,66
男女計,総人口,2023年10月1日現在,,京都府,"2,535",79,94,103,115,154,141,122,133,148,183,197,166,146,138,180,165,129,142
男女計,総人口,2023年10月1日現在,,大阪府,"8,763",296,331,357,382,492,511,475,494,531,645,726,603,497,445,572,534,439,434
男女計,総人口,2023年10月1日現在,,兵庫県,"5,370",181,214,235,246,260,249,253,287,321,392,430,365,330,316,387,342,267,296
男女計,総人口,2023年10月1日現在,,奈良県,"1,296",40,49,55,60,62,53,55,65,73,90,100,88,81,81,103,91,73,76
男女計,総人口,2023年10月1日現在,,和歌山県,892,28,33,37,39,34,35,38,45,49,61,67,60,60,60,73,63,50,59
男女計,総人口,2023年10月1日現在,,鳥取県,537,19,22,24,25,22,22,24,29,33,37,36,32,35,38,44,34,26,37
男女計,総人口,2023年10月1日現在,,島根県,650,22,27,29,30,26,26,28,33,37,44,43,38,41,45,54,44,33,51
男女計,総人口,2023年10月1日現在,,岡山県,"1,847",64,75,81,85,95,92,89,100,108,131,136,111,107,111,135,121,92,114
男女計,総人口,2023年10月1日現在,,広島県,"2,738",94,113,125,127,132,131,134,150,165,200,211,173,160,161,199,177,133,155
男女計,総人口,2023年10月1日現在,,山口県,"1,298",40,48,55,57,55,52,54,64,73,89,94,79,79,87,112,95,74,91
男女計,総人口,2023年10月1日現在,,徳島県,695,21,25,28,29,29,28,29,35,40,48,49,44,45,51,61,48,37,49
男女計,総人口,2023年10月1日現在,,香川県,926,30,36,40,42,40,39,42,49,55,68,69,57,55,59,74,64,46,59
男女計,総人口,2023年10月1日現在,,愛媛県,"1,291",39,49,55,57,51,52,56,66,75,91,94,82,83,88,109,89,67,87
男女計,総人口,2023年10月1日現在,,高知県,666,20,24,26,28,26,25,26,32,38,47,48,41,44,46,58,50,37,51
男女計,総人口,2023年10月1日現在,,福岡県,"5,103",190,221,233,234,276,271,263,297,329,367,367,309,295,304,370,289,224,264
男女計,総人口,2023年10月1日現在,,佐賀県,795,30,35,38,39,36,34,36,43,48,53,52,48,51,56,64,46,37,49
男女計,総人口,2023年10月1日現在,,長崎県,"1,267",44,52,57,57,49,48,53,64,72,82,86,81,87,95,110,81,65,85
男女計,総人口,2023年10月1日現在,,熊本県,"1,709",63,75,81,79,75,73,79,93,102,113,109,104,110,119,135,102,82,114
男女計,総人口,2023年10月1日現在,,大分県,"1,096",36,43,48,49,47,45,48,57,65,75,74,66,69,76,92,74,57,75
男女計,総人口,2023年10月1日現在,,宮崎県,"1,042",38,45,50,48,40,41,44,54,62,70,68,62,69,76,87,66,52,70
男女計,総人口,2023年10月1日現在,,鹿児島県,"1,549",56,67,74,70,61,60,66,82,92,99,97,95,106,120,129,93,75,107
男女計,総人口,2023年10月1日現在,,沖縄県,"1,468",72,81,84,78,73,75,80,92,96,105,103,89,89,91,92,55,48,63
男女計,総人口,2024年10月1日現在,,全国,"123,802","3,934","4,710","5,185","5,457","6,260","6,519","6,395","6,871","7,631","8,745","9,788","8,490","7,571","7,268","8,198","7,886","6,138","6,754"
男女計,総人口,2024年10月1日現在,,北海道,"5,043",134,170,193,206,226,226,233,261,298,353,386,344,335,333,399,357,267,322
男女計,総人口,2024年10月1日現在,,青森県,"1,165",30,39,45,47,43,43,47,57,67,79,86,82,84,89,100,85,64,78
男女計,総人口,2024年10月1日現在,,岩手県,"1,145",30,39,46,48,44,44,49,56,67,78,81,77,80,85,95,79,63,83
男女計,総人口,2024年10月1日現在,,宮城県,"2,248",66,84,94,100,120,117,113,128,145,162,168,145,141,146,162,134,101,122
男女計,総人口,2024年10月1日現在,,秋田県,897,20,27,32,35,29,29,33,41,51,60,62,58,66,73,83,70,53,75
男女計,総人口,2024年10月1日現在,,山形県,"1,011",28,36,41,44,40,38,42,51,60,68,69,64,69,76,86,70,53,75
男女計,総人口,2024年10月1日現在,,福島県,"1,743",49,64,71,76,70,69,80,93,104,118,125,115,122,132,144,114,88,110
男女計,総人口,2024年10月1日現在,,茨城県,"2,806",84,103,117,125,135,133,136,153,173,198,221,189,173,181,209,188,144,145
男女計,総人口,2024年10月1日現在,,栃木県,"1,885",55,70,78,85,89,87,92,106,119,136,148,127,118,125,142,124,90,95
男女計,総人口,2024年10月1日現在,,群馬県,"1,890",56,69,78,87,92,88,91,99,112,133,151,129,116,119,137,130,99,104
男女計,総人口,2024年10月1日現在,,埼玉県,"7,332",234,278,302,322,388,408,402,419,461,533,617,521,429,396,458,460,370,333
男女計,総人口,2024年10月1日現在,,千葉県,"6,251",199,235,255,272,325,344,336,356,393,450,520,440,367,342,397,402,318,300
男女計,総人口,2024年10月1日現在,,東京都,"14,178",447,518,529,551,862,"1,076",972,941,994,"1,071","1,169","1,018",813,657,681,692,561,624
男女計,総人口,2024年10月1日現在,,神奈川県,"9,225",290,343,374,399,503,555,514,528,588,678,792,700,561,472,520,531,434,443
男女計,総人口,2024年10月1日現在,,新潟県,"2,099",59,75,86,91,86,83,92,108,124,146,154,141,136,146,168,148,112,142
男女計,総人口,2024年10月1日現在,,富山県,997,30,36,40,43,45,44,44,49,56,70,81,66,62,62,73,76,57,64
男女計,総人口,2024年10月1日現在,,石川県,"1,098",35,42,47,51,57,53,52,56,63,78,88,72,66,66,75,78,57,61
